Intervalo 0
hex -> 0.010003226847370119
ness -> 0.010003226847370119
eh -> 0.010003226847370119
@ivetesangalo -> 0.01016456921587609
pe -> 0.01016456921587609
vend -> 0.010325911584382058
porr -> 0.010325911584382058
ly -> 0.010325911584382058
s -> 0.010487253952888029
entr -> 0.010648596321393998
pod -> 0.010809938689899969
melhor -> 0.010809938689899969
p -> 0.010809938689899969
felip -> 0.010971281058405937
0 -> 0.010971281058405937
boa -> 0.010971281058405937
contr -> 0.010971281058405937
lt -> 0.011293965795417877
#hol -> 0.011293965795417877
sil -> 0.011293965795417877
quent -> 0.011455308163923846
sao -> 0.011455308163923846
esper -> 0.011455308163923846
vc -> 0.011616650532429816
bor -> 0.011616650532429816
#torcidaivet -> 0.011777992900935785
mel -> 0.011777992900935785
3 -> 0.011777992900935785
tud -> 0.011777992900935785
#brasil -> 0.011939335269441756
bande -> 0.012100677637947725
migr -> 0.012423362374959664
fic -> 0.012423362374959664
#cop -> 0.012584704743465635
cas -> 0.012584704743465635
bem -> 0.012584704743465635
voc -> 0.012746047111971604
tim -> 0.012907389480477573
prim -> 0.013068731848983543
buen -> 0.013068731848983543
final -> 0.013068731848983543
amarel -> 0.013068731848983543
volt -> 0.013230074217489512
acord -> 0.013552758954501452
hor -> 0.013714101323007422
bol -> 0.013714101323007422
faz -> 0.01419812842852533
laranj -> 0.01452081316553727
2 -> 0.01484349790254921
1 -> 0.01565020974507906

Intervalo 1
dar -> 0.010101010101010102
futebol -> 0.010101010101010102
ness -> 0.010101010101010102
bonit -> 0.010295260295260296
sao -> 0.010295260295260296
assim -> 0.01048951048951049
sab -> 0.01048951048951049
sil -> 0.01048951048951049
pq -> 0.01048951048951049
kak -> 0.010683760683760684
junt -> 0.010878010878010878
3 -> 0.011072261072261072
car -> 0.011072261072261072
acord -> 0.011072261072261072
melhor -> 0.011266511266511266
tao -> 0.01146076146076146
0 -> 0.01146076146076146
2 -> 0.01146076146076146
volt -> 0.011655011655011656
buen -> 0.011655011655011656
voc -> 0.011655011655011656
alguem -> 0.011655011655011656
dess -> 0.01184926184926185
p -> 0.01184926184926185
lo -> 0.012237762237762238
amarel -> 0.012237762237762238
bit -> 0.012432012432012432
y -> 0.01282051282051282
pod -> 0.01282051282051282
#brasil -> 0.01320901320901321
ly -> 0.01320901320901321
cas -> 0.013403263403263404
#cop -> 0.013403263403263404
tim -> 0.013986013986013986
olh -> 0.013986013986013986
mel -> 0.013986013986013986
2x1 -> 0.01418026418026418
juiz -> 0.01418026418026418
1 -> 0.014374514374514374
s -> 0.014568764568764568
prim -> 0.014763014763014764
felip -> 0.014763014763014764
cop -> 0.015151515151515152
camp -> 0.015151515151515152
vend -> 0.01554001554001554
vs -> 0.015928515928515928
aqu -> 0.016122766122766124
dung -> 0.016122766122766124
anul -> 0.016511266511266512
bol -> 0.016511266511266512

Intervalo 2
deu -> 0.010008703220191472
goal -> 0.010153756890049319
minut -> 0.010298810559907166
#brasil -> 0.010298810559907166
lo -> 0.010733971569480708
camis -> 0.010733971569480708
perd -> 0.010733971569480708
sort -> 0.010879025239338555
part -> 0.011459239918769945
y -> 0.011459239918769945
pod -> 0.011459239918769945
tom -> 0.011604293588627792
car -> 0.01174934725848564
melhor -> 0.012039454598201334
fez -> 0.012184508268059183
bol -> 0.01232956193791703
fal -> 0.012474615607774877
3 -> 0.012619669277632724
2 -> 0.012619669277632724
dia -> 0.012619669277632724
assist -> 0.012764722947490571
selec -> 0.012764722947490571
mund -> 0.012909776617348418
gent -> 0.013054830287206266
grit -> 0.013054830287206266
porr -> 0.013199883957064115
vou -> 0.013489991296779809
contr -> 0.013780098636495503
el -> 0.014070205976211198
cop -> 0.01450536698578474
bem -> 0.01450536698578474
imped -> 0.014795474325500435
hoj -> 0.014940527995358282
aqu -> 0.014940527995358282
pass -> 0.01610095735422106
quer -> 0.01624601102407891
bom -> 0.01624601102407891
@fifacom -> 0.016971279373368148
ai -> 0.016971279373368148
laranj -> 0.017116333043225993
a9kvrq -> 0.017406440382941687
tis -> 0.017551494052799536
ver -> 0.01900203075137801
ach -> 0.01900203075137801
d -> 0.019727299100667246
est -> 0.019727299100667246
comec -> 0.019727299100667246
prim -> 0.019872352770525094
tod -> 0.020887728459530026
la -> 0.02132288946910357

Intervalo 3
final -> 0.010099281068127354
sc -> 0.010099281068127354
cas -> 0.010270455323519343
lo -> 0.010270455323519343
frent -> 0.010270455323519343
gost -> 0.010441629578911331
olh -> 0.010441629578911331
tao -> 0.010441629578911331
nad -> 0.010441629578911331
y -> 0.010612803834303321
mand -> 0.010612803834303321
falt -> 0.01078397808969531
p -> 0.01078397808969531
#brasil -> 0.010955152345087298
futebol -> 0.010955152345087298
vend -> 0.010955152345087298
dar -> 0.011126326600479288
juiz -> 0.011126326600479288
cu -> 0.011297500855871277
s -> 0.011468675111263265
sort -> 0.011639849366655255
camis -> 0.011982197877439232
holandes -> 0.011982197877439232
tim -> 0.012153372132831223
2 -> 0.012324546388223211
aind -> 0.0124957206436152
grit -> 0.012838069154399178
ate -> 0.012838069154399178
assim -> 0.013009243409791168
pass -> 0.013180417665183157
melhor -> 0.013351591920575145
azul -> 0.013351591920575145
contr -> 0.013522766175967135
prim -> 0.013693940431359124
mel -> 0.013693940431359124
gent -> 0.01420746319753509
laranj -> 0.01437863745292708
bol -> 0.01437863745292708
part -> 0.01454981170831907
comec -> 0.01454981170831907
el -> 0.014892160219103046
aqu -> 0.015234508729887025
bem -> 0.015405682985279013
1x0 -> 0.015576857240671003
felip -> 0.015748031496062992
pod -> 0.01591920575145498
hoj -> 0.01643272851763095
10 -> 0.016775077028414926
selec -> 0.016946251283806914
acord -> 0.017117425539198903

Intervalo 4
luc -> 0.010057471264367816
tir -> 0.010057471264367816
pres -> 0.010057471264367816
acert -> 0.010237068965517241
gan -> 0.010237068965517241
sang -> 0.010237068965517241
juiz -> 0.010237068965517241
luci -> 0.010237068965517241
lev -> 0.010416666666666666
twitt -> 0.010416666666666666
menos -> 0.010955459770114943
fod -> 0.010955459770114943
porr -> 0.010955459770114943
tim -> 0.010955459770114943
@microcontoscos -> 0.011135057471264368
